Strain,FileBase
SM38,Run_7_2018_12/SM38_[12].fq.gz
SM4,Run_6_2018_7/SM4_R[12].fq.gz
SM40,Run_6_2018_7/SM40_R[12].fq.gz
SM42,Run2_2016-10-26/flowcell548_lane1_pair[12]_GTCCGC.fastq.gz
SM43,Run5_2017-06-22_FC633/SM-L_3-15_S15_R[12]_001.fastq.gz
SM44,Run_7_2018_12/SM44_[12].fq.gz
SM48,Run4_2017-05-12_FC617/flowcell617_lane1_pair[12]_CAGATC.fastq.gz;Run_6_2018_7/SM48_R[12].fq.gz
SM49,Run5_2017-06-22_FC633/SM-L_3-16_S16_R[12]_001.fastq.gz;Run_7_2018_12/SM49_[12].fq.gz
SM5,Run_6_2018_7/SM5_R[12].fq.gz
SM50,Run5_2017-06-22_FC633/SM-L_3-17_S17_R[12]_001.fastq.gz
SM50,Run_6_2018_7/SM50_R[12].fq.gz
SM51,Run_7_2018_12/SM51_[12].fq.gz
SM52,Run5_2017-06-22_FC633/SM-L_3-45_S45_R[12]_001.fastq.gz
SM53,Run5_2017-06-22_FC633/SM-L_3-41_S41_R[12]_001.fastq.gz
SM55,Run_6_2018_7/SM55_R[12].fq.gz
SM57,Run5_2017-06-22_FC633/SM-L_3-43_S43_R[12]_001.fastq.gz
SM61,Run_7_2018_12/SM61_[12].fq.gz
SM62,Run_6_2018_7/SM62_R[12].fq.gz
SM63,Run_7_2018_12/SM63_[12].fq.gz
SM65,Run5_2017-06-22_FC633/SM-L_3-29_S29_R[12]_001.fastq.gz;Run_7_2018_12/SM65_[12].fq.gz
SM66,Run5_2017-06-22_FC633/SM-L_3-1_S1_R[12]_001.fastq.gz
SM67,Run5_2017-06-22_FC633/SM-L_3-47_S47_R[12]_001.fastq.gz;Run_7_2018_12/SM67_[12].fq.gz
SM69,Run_7_2018_12/SM69_[12].fq.gz
SM70,Run_7_2018_12/SM70_[12].fq.gz
SM72,Run5_2017-06-22_FC633/SM-L_3-20_S20_R[12]_001.fastq.gz
SM74,Run5_2017-06-22_FC633/SM-L_3-42_S42_R[12]_001.fastq.gz
SM76,Run5_2017-06-22_FC633/SM-L_3-28_S28_R[12]_001.fastq.gz;Run_6_2018_7/SM76_R[12].fq.gz
SM77,Run5_2017-06-22_FC633/SM-L_3-2_S2_R[12]_001.fastq.gz
SM78,Run5_2017-06-22_FC633/SM-L_3-21_S21_R[12]_001.fastq.gz
SM79,Run_7_2018_12/SM79_[12].fq.gz
SM80,Run_7_2018_12/SM80_[12].fq.gz
SM81,Run5_2017-06-22_FC633/SM-L_3-22_S22_R[12]_001.fastq.gz
SM84,Run4_2017-05-12_FC617/flowcell617_lane1_pair[12]_CTTGTA.fastq.gz
SM87,Run5_2017-06-22_FC633/SM-L_3-39_S39_R[12]_001.fastq.gz;Run_6_2018_7/SM87_R[12].fq.gz
SM9,Run1_2016-07-26/flowcell493_lane1_pair[12]_TAGCTT.fastq.gz
SM91,Run2_2016-10-26/flowcell548_lane1_pair[12]_GGCTAC.fastq.gz
SM92,Run5_2017-06-22_FC633/SM-L_3-12_S12_R[12]_001.fastq.gz;Run_6_2018_7/SM92_R[12].fq.gz
SM97,Run5_2017-06-22_FC633/SM-L_3-26_S26_R[12]_001.fastq.gz
SM98,Run_6_2018_7/SM98_R[12].fq.gz
SM99,Run5_2017-06-22_FC633/SM-L_3-24_S24_R[12]_001.fastq.gz
