Strain,FileBase
Ra_1799,JGI_LCG/Rhizopus_artocarpi_NRRL_1799_R[12].fq.gz
Rn_1477,JGI_LCG/Rhizopus_nigricans_Ehrenberg_NRRL_1477_R[12].fq.gz
Rn_3372,JGI_LCG/Rhizopus_nigricans_NRRL_3372_R[12].fq.gz
Rr_A-16792,JGI_LCG/Rhizopus_reflexus_NRRL_A-16792_R[12].fq.gz
Rr_A-18059,JGI_LCG/Rhizopus_reflexus_NRRL_A-18059_R[12].fq.gz
Ar_A-25885,JGI_LCG/Amylomyces_rouxii_NRRL-A-25885_R[12].fq.gz
Rsp_A-16766A,JGI_LCG/Rhizopus_sp._NRRL_A-16766A_R[12].fq.gz
Rs_1519,JGI_LCG/Rhizopus_stolonifer_NRRL_1519_R[12].fq.gz
Rs_54333,JGI_LCG/Rhizopus_stolonifer_NRRL_54333_R[12].fq.gz
Rs_54667,JGI_LCG/Rhizopus_stolonifer_NRRL_54667_R[12].fq.gz
Rs_66454,JGI_LCG/Rhizopus_stolonifer_NRRL_66454_R[12].fq.gz
Rs_66455,JGI_LCG/Rhizopus_stolonifer_NRRL_66455_R[12].fq.gz
Rs_66456,JGI_LCG/Rhizopus_stolonifer_NRRL_66456_R[12].fq.gz
Rs_66457,JGI_LCG/Rhizopus_stolonifer_NRRL_66457_R[12].fq.gz
Rs_66458,JGI_LCG/Rhizopus_stolonifer_NRRL_66458_R[12].fq.gz
Rs_66459,JGI_LCG/Rhizopus_stolonifer_NRRL_66459_R[12].fq.gz
Rs_66460,JGI_LCG/Rhizopus_stolonifer_NRRL_66460_R[12].fq.gz
SM10,Run_7_2018_12/SM10_[12].fq.gz
SM100,Run_6_2018_7/SM100_R[12].fq.gz
SM101,Run5_2017-06-22_FC633/SM-L_3-24_S24_R[12]_001.fastq.gz
SM102,Run5_2017-06-22_FC633/SM-L_3-5_S5_R[12]_001.fastq.gz
SM104,Run5_2017-06-22_FC633/SM-L_3-44_S44_R[12]_001.fastq.gz
SM105,Run4_2017-05-12_FC617/flowcell617_lane1_pair[12]_AGTCAA.fastq.gz
SM106,Run5_2017-06-22_FC633/SM-L_3-9_S9_R[12]_001.fastq.gz
SM108,Run5_2017-06-22_FC633/SM-L_3-8_S8_R[12]_001.fastq.gz
SM109,Run5_2017-06-22_FC633/SM-L_3-10_S10_R[12]_001.fastq.gz
SM11,Run5_2017-06-22_FC633/SM-L_3-7_S7_R[12]_001.fastq.gz
SM110,Run5_2017-06-22_FC633/SM-L_3-4_S4_R[12]_001.fastq.gz
SM111,Run5_2017-06-22_FC633/SM-L_3-46_S46_R[12]_001.fastq.gz
SM112,Run5_2017-06-22_FC633/SM-L_3-3_S3_R[12]_001.fastq.gz
SM113,Run4_2017-05-12_FC617/flowcell617_lane1_pair[12]_AGTTCC.fastq.gz;Run_7_2018_12/SM113_[12].fq.gz
SM114,Run5_2017-06-22_FC633/SM-L_3-40_S40_R[12]_001.fastq.gz;Run_7_2018_12/SM114_[12].fq.gz
SM117,Run5_2017-06-22_FC633/SM-L_3-11_S11_R[12]_001.fastq.gz
SM119,Run5_2017-06-22_FC633/SM-L_3-38_S38_R[12]_001.fastq.gz;Run_6_2018_7/SM119_R[12].fq.gz
SM12,Run_7_2018_12/SM12_[12].fq.gz
SM122,Run5_2017-06-22_FC633/SM-L_3-30_S30_R[12]_001.fastq.gz
SM123,Run5_2017-06-22_FC633/SM-L_3-33_S33_R[12]_001.fastq.gz
SM129,Run_6_2018_7/SM129_R[12].fq.gz
SM13,Run1_2016-07-26/flowcell493_lane1_pair[12]_CTTGTA.fastq.gz
SM130,Run5_2017-06-22_FC633/SM-L_3-37_S37_R[12]_001.fastq.gz
SM131,Run_6_2018_7/SM131_R[12].fq.gz
SM132,Run_6_2018_7/SM132_R[12].fq.gz
SM133,Run_6_2018_7/SM133_R[12].fq.gz
SM134,Run_6_2018_7/SM134_R[12].fq.gz
SM135,Run_7_2018_12/SM135_[12].fq.gz
SM136,Run_6_2018_7/SM136_R[12].fq.gz
SM137,Run_6_2018_7/SM137_R[12].fq.gz
SM138,Run_6_2018_7/SM138_R[12].fq.gz
SM139,Run_6_2018_7/SM139_R[12].fq.gz
SM140,Run_7_2018_12/SM140_[12].fq.gz
SM141,Run_7_2018_12/SM141_[12].fq.gz
SM142,Run_7_2018_12/SM142_[12].fq.gz
SM143,Run_6_2018_7/SM143_R[12].fq.gz
SM144,Run_6_2018_7/SM144_R[12].fq.gz
SM145,Run_6_2018_7/SM145_R[12].fq.gz
SM146,Run_6_2018_7/SM146_R[12].fq.gz
SM147,Run_7_2018_12/SM147_[12].fq.gz
SM148,Run_7_2018_12/SM148_[12].fq.gz
SM14c,SM14/14c.raw.[12].fq.gz
SM16,Run5_2017-06-22_FC633/SM-L_3-32_S32_R[12]_001.fastq.gz;Run_7_2018_12/SM16_[12].fq.gz
SM17,Run5_2017-06-22_FC633/SM-L_3-29_S29_R[12]_001.fastq.gz;Run_6_2018_7/SM17_R[12].fq.gz
SM18,Run2_2016-10-26/flowcell548_lane1_pair[12]_ACTTGA.fastq.gz
SM19,Run5_2017-06-22_FC633/SM-L_3-48_S48_R[12]_001.fastq.gz;Run_7_2018_12/SM19_[12].fq.gz
SM2,Run5_2017-06-22_FC633/SM-L_3-31_S31_R[12]_001.fastq.gz
SM2,Run_7_2018_12/SM2_[12].fq.gz
SM20,Run_7_2018_12/SM20_[12].fq.gz
SM22,Run5_2017-06-22_FC633/SM-L_3-14_S14_R[12]_001.fastq.gz;Run_6_2018_7/SM22_R[12].fq.gz
SM24,Run1_2016-07-26/flowcell493_lane1_pair[12]_ACAGTG.fastq.gz
SM25,Run_7_2018_12/SM25_[12].fq.gz
SM27,Run1_2016-07-26/flowcell493_lane1_pair[12]_GAGTGG.fastq.gz
SM28,Run1_2016-07-26/flowcell493_lane1_pair[12]_GGCTAC.fastq.gz;Run_6_2018_7/SM28_R[12].fq.gz
SM29,Run2_2016-10-26/flowcell548_lane1_pair[12]_TAGCTT.fastq.gz
SM35,Run5_2017-06-22_FC633/SM-L_3-25_S25_R[12]_001.fastq.gz
SM36,Run5_2017-06-22_FC633/SM-L_3-6_S6_R[12]_001.fastq.gz
